OBJECTID,STATUS,AP_NAME,AP_NUMBER,MAP_NUMBER,AP_FULL_NAME,ADOPTED_DATE,CROP_TYPE,NONR_DATE,ACTIVE,AMENDMENT_NO,SHAPESTArea,SHAPESTLength
8396," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,T,653984.708984375,3962.87982486902
8879," ","EAGLE VALLEY",2,711,"EAGLE VALLEY NO. 2 MAP NO. 711",1991-02-05T00:00:00.000Z," ",,N,3,5518775.71777344,10116.6430067313
8959," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,H,410875.068359375,2796.1269316243
8966," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,G,384885.234375,2879.0351351401
8971," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,I,500953.30859375,3843.95128457977
8973," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,Q,177877.545898438,1777.50612178222
8974," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,P,214146.787109375,1968.22492884467
8975," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,O,398306.888671875,3132.17991837109
8976," ","EL SOBRANTE",1,666,"EL SOBRANTE NO. 1 MAP NO. 666",1990-01-23T00:00:00.000Z," ",,N,8,400640.450195312,2982.43568429029
8986," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,F,220483.904296875,1986.50815218349
8987," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,L,217672.995117188,1975.75662759485
8988," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,J,1264152.9140625,7057.59181547547
8989," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,A,209728.543945312,1951.38960694518
8990," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,B,209534.815429688,1954.21222490521
8991," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,C,110558.206054688,1330.45223552262
8992," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,D,67364.2373046875,1061.15097967296
8995," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,R,438272.133789062,2647.8907237222
8997," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,S,218373.813476562,1983.40975616481
9002," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,U,229075.32421875,2022.87332671759
9003," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,V,215249.399414062,1981.4414127852
9004," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,M,433871.000976562,2634.75260970376
9005," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,N,217013.904296875,1959.84828702515
9006," ","EL SOBRANTE",1," ","EL SOBRANTE NO. 1 MAP NO.",," ",,N,E,219009.805664062,1989.79156404248
9013," ","VALLE VISTA",3,499,"VALLE VISTA NO. 3 MAP NO. 499",1979-09-25T00:00:00.000Z," ",,N,1,3124437.43261719,7531.96028904288
